"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"c:\Users\ahbaz\StudioProjects\kaio\lib\Cuisines\FlipCarousel.dart", "Dart", 0, 26, 1, 4, 31
"c:\Users\ahbaz\StudioProjects\kaio\lib\Cuisines\recipe.dart", "Dart", 0, 18, 0, -2, 16
"c:\Users\ahbaz\StudioProjects\kaio\lib\Destinations\Container.dart", "Dart", 0, 20, 1, 4, 25
"c:\Users\ahbaz\StudioProjects\kaio\lib\Destinations\DestinationSecondPage.dart", "Dart", 0, 210, 1, 8, 219
"c:\Users\ahbaz\StudioProjects\kaio\lib\Destinations\Destinationdesc.dart", "Dart", 0, -113, -1, -3, -117
"c:\Users\ahbaz\StudioProjects\kaio\lib\Destinations\Features.dart", "Dart", 0, 37, 1, 5, 43
"c:\Users\ahbaz\StudioProjects\kaio\lib\Destinations\Tab.dart", "Dart", 0, 45, 1, 3, 49
"c:\Users\ahbaz\StudioProjects\kaio\lib\Destinations\desttemplate.dart", "Dart", 0, 175, 1, 10, 186
"c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\BookTemplate.dart", "Dart", 0, 11, 0, 0, 11
"c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\Cuisine.dart", "Dart", 0, 722, 3, -10, 715
"c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\destinations.dart", "Dart", 0, 353, -1, 28, 380
"c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\handicrafts.dart", "Dart", 0, 1056, 4, 14, 1074
"c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\literature.dart", "Dart", 0, 105, 0, -3, 102
"c:\Users\ahbaz\StudioProjects\kaio\lib\constants.dart", "Dart", 0, 4, 0, 1, 5
"c:\Users\ahbaz\StudioProjects\kaio\lib\main.dart", "Dart", 0, 11, 0, 1, 12
"c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\Recipe.dart", "Dart", 0, 8, 0, -1, 7
"c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\Travel.dart", "Dart", 0, -56, -20, -7, -83
"c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\bookshape.dart", "Dart", 0, 5, 0, 4, 9
"c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\craft.dart", "Dart", 0, -13, 0, 0, -13
"c:\Users\ahbaz\StudioProjects\kaio\pubspec.yaml", "YAML", 53, 0, -1, 2, 54
"Total", "-", 53, 2624, -10, 58, 2725
