"filename", "language", "YAML", "Dart", "Swift", "comment", "blank", "total"
"c:\Users\ahbaz\StudioProjects\kaio\lib\Cuisines\FlipCarousel.dart", "Dart", 0, -1, 0, 3, -1, 1
"c:\Users\ahbaz\StudioProjects\kaio\lib\Cuisines\RecipeImage.dart", "Dart", 0, 29, 0, 1, 7, 37
"c:\Users\ahbaz\StudioProjects\kaio\lib\Cuisines\cook.dart", "Dart", 0, -46, 0, -24, -17, -87
"c:\Users\ahbaz\StudioProjects\kaio\lib\Cuisines\recipe.dart", "Dart", 0, 36, 0, -1, 2, 37
"c:\Users\ahbaz\StudioProjects\kaio\lib\Culture\CultureSelection.dart", "Dart", 0, -48, 0, -36, -5, -89
"c:\Users\ahbaz\StudioProjects\kaio\lib\Culture\Gallery.dart", "Dart", 0, 67, 0, 0, 11, 78
"c:\Users\ahbaz\StudioProjects\kaio\lib\Culture\carouselpage.dart", "Dart", 0, 84, 0, 1, 9, 94
"c:\Users\ahbaz\StudioProjects\kaio\lib\Destinations\DestinationSecondPage.dart", "Dart", 0, -210, 0, -1, -8, -219
"c:\Users\ahbaz\StudioProjects\kaio\lib\Destinations\Features.dart", "Dart", 0, 15, 0, 0, 3, 18
"c:\Users\ahbaz\StudioProjects\kaio\lib\Destinations\Tab.dart", "Dart", 0, -45, 0, -1, -3, -49
"c:\Users\ahbaz\StudioProjects\kaio\lib\Destinations\carouselPage.dart", "Dart", 0, 39, 0, 1, 7, 47
"c:\Users\ahbaz\StudioProjects\kaio\lib\Destinations\destinationFeature.dart", "Dart", 0, 48, 0, 2, 5, 55
"c:\Users\ahbaz\StudioProjects\kaio\lib\Destinations\desttemplate.dart", "Dart", 0, -9, 0, 0, -1, -10
"c:\Users\ahbaz\StudioProjects\kaio\lib\Handicrafts\Hc_papermachie.dart", "Dart", 0, -91, 0, -1, -4, -96
"c:\Users\ahbaz\StudioProjects\kaio\lib\Handicrafts\craft.dart", "Dart", 0, 30, 0, 1, 6, 37
"c:\Users\ahbaz\StudioProjects\kaio\lib\Handicrafts\desc_Hc_pprmche.dart", "Dart", 0, -18, 0, -1, -6, -25
"c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\Book.dart", "Dart", 0, -40, 0, 0, 1, -39
"c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\BookShape.dart", "Dart", 0, 43, 0, 1, 8, 52
"c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\BookShape2.dart", "Dart", 0, 24, 0, 1, 7, 32
"c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\BookTemplate.dart", "Dart", 0, 18, 0, 2, 2, 22
"c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\Widget_Book.dart", "Dart", 0, -20, 0, -1, -6, -27
"c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\litera.dart", "Dart", 0, -148, 0, -1, -14, -163
"c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\Cuisine.dart", "Dart", 0, -806, 0, -3, 7, -802
"c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\Culture.dart", "Dart", 0, 159, 0, 0, 33, 192
"c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\destinations.dart", "Dart", 0, -228, 0, 0, -25, -253
"c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\handicrafts.dart", "Dart", 0, 25, 0, 2, 1, 28
"c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\literature.dart", "Dart", 0, -367, 0, 23, -5, -349
"c:\Users\ahbaz\StudioProjects\kaio\lib\SplashScreen.dart", "Dart", 0, 41, 0, 1, 7, 49
"c:\Users\ahbaz\StudioProjects\kaio\lib\constants.dart", "Dart", 0, 16, 0, 0, 0, 16
"c:\Users\ahbaz\StudioProjects\kaio\lib\data\MainScreen.dart", "Dart", 0, 46, 0, 1, 4, 51
"c:\Users\ahbaz\StudioProjects\kaio\lib\data\cuisines.dart", "Dart", 0, 1533, 0, 1, 51, 1585
"c:\Users\ahbaz\StudioProjects\kaio\lib\data\culture.dart", "Dart", 0, 264, 0, 0, 11, 275
"c:\Users\ahbaz\StudioProjects\kaio\lib\data\destination.dart", "Dart", 0, 449, 0, 1, 22, 472
"c:\Users\ahbaz\StudioProjects\kaio\lib\data\handicrafts.dart", "Dart", 0, 70, 0, 1, 6, 77
"c:\Users\ahbaz\StudioProjects\kaio\lib\data\literature.dart", "Dart", 0, 351, 0, 0, 6, 357
"c:\Users\ahbaz\StudioProjects\kaio\lib\main.dart", "Dart", 0, -60, 0, 0, 5, -55
"c:\Users\ahbaz\StudioProjects\kaio\lib\mainScreen.dart", "Dart", 0, 254, 0, 1, 16, 271
"c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\CookCard.dart", "Dart", 0, -20, 0, -2, -3, -25
"c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\CultureCard.dart", "Dart", 0, -99, 0, -14, -20, -133
"c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\Recipe.dart", "Dart", 0, -61, 0, -1, -4, -66
"c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\ReviewCard.dart", "Dart", 0, -19, 0, -2, -3, -24
"c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\bookshape.dart", "Dart", 0, -35, 0, -1, -8, -44
"c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\craft.dart", "Dart", 0, -31, 0, -1, -3, -35
"c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\selection.dart", "Dart", 0, -18, 0, -1, -4, -23
"c:\Users\ahbaz\StudioProjects\kaio\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 4, 0, 0, 4
"c:\Users\ahbaz\StudioProjects\kaio\pubspec.yaml", "YAML", 13, 0, 0, -5, 0, 8
"Total", "-", 13, 1221, 4, -53, 97, 1282
