"filename", "language", "C++", "CMake", "YAML", "Swift", "Dart", "Gradle", "JSON", "comment", "blank", "total"
"c:\Users\ahbaz\StudioProjects\kaio\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 2, 0, 0, -1, 1
"c:\Users\ahbaz\StudioProjects\kaio\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 0, 48, 0, 0, 48
"c:\Users\ahbaz\StudioProjects\kaio\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 1, 0, 0, -1, 0
"c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\Book.dart", "Dart", 0, 0, 0, 0, -127, 0, 0, -1, -5, -133
"c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\BookShape.dart", "Dart", 0, 0, 0, 0, -9, 0, 0, 0, -3, -12
"c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\BookShape2.dart", "Dart", 0, 0, 0, 0, 3, 0, 0, 0, -1, 2
"c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\BookTemplate.dart", "Dart", 0, 0, 0, 0, 16, 0, 0, -2, 2, 16
"c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\Recents.dart", "Dart", 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\literature.dart", "Dart", 0, 0, 0, 0, 136, 0, 0, -16, 9, 129
"c:\Users\ahbaz\StudioProjects\kaio\lib\data\literature.dart", "Dart", 0, 0, 0, 0, -351, 0, 0, 0, -6, -357
"c:\Users\ahbaz\StudioProjects\kaio\lib\loginform.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ahbaz\StudioProjects\kaio\lib\main.dart", "Dart", 0, 0, 0, 0, 2, 0, 0, 0, -4, -2
"c:\Users\ahbaz\StudioProjects\kaio\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\ahbaz\StudioProjects\kaio\pubspec.yaml", "YAML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\ahbaz\StudioProjects\kaio\windows\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\ahbaz\StudioProjects\kaio\windows\flutter\generated_plugins.cmake", "CMake", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 3, 1, 2, 4, -312, 3, 48, -19, -5, -275
